	Species	Number of Results	Found
1406	Smi tp nctc set (17 strains)	1.0	
1632	Acinetobacter pecorum		1.0
1633	Arthrobacter gallicola		1.0
1634	Arthrobacter pullicola		1.0
1635	Bacillus norwichensis		1.0
1636	Brevibacterium gallinarum		1.0
1637	Brevundimonas guildfordensis		1.0
1638	Cellulomonas avistercoris		1.0
1639	Comamonas avium		1.0
1640	Corynebacterium gallinarum		1.0
1641	Escherichia whittamii		1.0
1642	Kaistella pullorum		1.0
1643	Luteimonas colneyensis		1.0
1644	Oceanitalea stevensii		1.0
1645	Ochrobacterum gallinarum		1.0
1646	Oerskovia douganii		1.0
1647	Oerskovia gallyi		1.0
1648	Oerskovia merdavium		1.0
1649	Paenibacillus gallinarum		1.0
1650	Planococcus wigleyi		1.0
1651	Psychrobacter communis		1.0
1652	Serpens gallinarum		1.0
1653	Solibacillus faecavium		1.0
1654	Sporosarcina gallistercoris		1.0
1655	Stenotrophomonas pennii		1.0
1656	Ureibacillus galli		1.0
